Company,Symbol,Weight
Apple Inc,AAPL,7.409167
Microsoft Corp,MSFT,6.772895
Amazon.com Inc,AMZN,3.018
Nvidia Corp,NVDA,2.178252
Alphabet Inc Cl A,GOOGL,2.087935
Alphabet Inc Cl C,GOOG,1.831304
Berkshire Hathaway Inc Cl B,BRK.B,1.672788
Meta Platforms Inc Class A,META,1.608354
Tesla Inc,TSLA,1.426323
Unitedhealth Group Inc,UNH,1.302693
Exxon Mobil Corp,XOM,1.284678
Johnson & Johnson,JNJ,1.187619
Jpmorgan Chase & Co,JPM,1.151071
Visa Inc Class a Shares,V,1.047177
Procter & Gamble Co,PG,1.000969
Eli Lilly & Co,LLY,0.973641
Mastercard Inc A,MA,0.901527
Home Depot Inc,HD,0.860258
Merck & Co. Inc.,MRK,0.835136
Broadcom Inc,AVGO,0.823395
Chevron Corp,CVX,0.811239
Pepsico Inc,PEP,0.738341
Abbvie Inc,ABBV,0.723788
Coca Cola Co,KO,0.68705
Pfizer Inc,PFE,0.628754
Costco Wholesale Corp,COST,0.621116
Mcdonald S Corp,MCD,0.607205
Salesforce Inc,CRM,0.606193
Walmart Inc,WMT,0.600284
Thermo Fisher Scientific Inc,TMO,0.580815
Cisco Systems Inc,CSCO,0.576649
Bank of America Corp,BAC,0.568679
Abbott Laboratories,ABT,0.525994
Accenture Plc Cl A,ACN,0.523727
Linde Plc,LIN,0.506687
Advanced Micro Devices,AMD,0.506173
Comcast Corp Class A,CMCSA,0.487654
Adobe Inc,ADBE,0.485532
Walt Disney Co,DIS,0.471798
Netflix Inc,NFLX,0.471129
Wells Fargo & Co,WFC,0.451567
Texas Instruments Inc,TXN,0.438902
Oracle Corp,ORCL,0.438135
Verizon Communications Inc,VZ,0.436822
Danaher Corp,DHR,0.432771
Nextera Energy Inc,NEE,0.427769
Philip Morris International,PM,0.415111
Bristol Myers Squibb Co,BMY,0.403618
Raytheon Technologies Corp,RTX,0.397848
Nike Inc Cl B,NKE,0.391133
Honeywell International Inc,HON,0.371696
Conocophillips,COP,0.36899
Lowe S Cos Inc,LOW,0.35704
United Parcel Service Cl B,UPS,0.35493
Intel Corp,INTC,0.347871
Amgen Inc,AMGN,0.342669
Union Pacific Corp,UNP,0.340472
Intuit Inc,INTU,0.339347
S&p Global Inc,SPGI,0.33915
Medtronic Plc,MDT,0.337442
Qualcomm Inc,QCOM,0.333005
Starbucks Corp,SBUX,0.331955
At&t Inc,T,0.329658
Intl Business Machines Corp,IBM,0.329489
Boeing Co,BA,0.324922
