Symbol,Description,Exchange,Sector,
ZYXI,"Zynex, Inc.",NASDAQ,Medical Specialties,
ZYNE,"Zynerba Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,
ZYME,Zymeworks Inc.,NASDAQ,Pharmaceuticals: Major,
ZWS,Zurn Elkay Water Solutions Corporation,NYSE,Industrial Machinery,
ZVSA,"ZyVersa Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,
ZVRA,"Zevra Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,
ZVIA,Zevia PBC,NYSE,Beverages: Non-Alcoholic,
ZURA,Zura Bio Limited,NASDAQ,Biotechnology,
ZUO,"Zuora, Inc.",NYSE,Packaged Software,
ZUMZ,Zumiez Inc.,NASDAQ,Apparel/Footwear Retail,
ZTS,Zoetis Inc.,NYSE,Pharmaceuticals: Major,
ZTR,Virtus Total Return Fund Inc.,NYSE,Investment Trusts/Mutual Funds,
ZTO,ZTO Express (Cayman) Inc.,NYSE,Air Freight/Couriers,
ZTEK,Zentek Ltd.,NASDAQ,Other Metals/Minerals,
ZTAQU,Zimmer Energy Transition Acquisition Corp.,NASDAQ,Financial Conglomerates,
ZT,Zimmer Energy Transition Acquisition Corp.,NASDAQ,Financial Conglomerates,
ZS,"Zscaler, Inc.",NASDAQ,Data Processing Services,
ZNTL,"Zentalis Pharmaceuticals, Inc.",NASDAQ,Biotechnology,
ZM,"Zoom Video Communications, Inc.",NASDAQ,Packaged Software,
ZLAB,Zai Lab Limited,NASDAQ,Biotechnology,
ZKIN,"ZK International Group Co., Ltd",NASDAQ,Industrial Machinery,
ZJYL,JIN MEDICAL INTERNATIONAL LTD.,NASDAQ,Medical Specialties,
ZIVO,"Zivo Bioscience, Inc.",NASDAQ,Biotechnology,
ZIP,"ZipRecruiter, Inc.",NYSE,Internet Software/Services,
ZIONP,Zions Bancorporation N.A. - Depositary Shares each representing a 1/40th ownership interest in a share of Series A Floating-Rate Non-Cumulative Perpetual Prefer,NASDAQ,Major Banks,
ZIONO,Zions Bancorporation N.A. - Depositary Shares each representing a 1/40th ownership interest in a share of Series G Fixed/Floating-Rate Non-Cumulative Perpetual,NASDAQ,Major Banks,
ZIONL,"Zions Bancorporation N.A. - 6.95% Fixed-to-Floating Rate Subordinated Notes due September 15, 2028",NASDAQ,Major Banks,
ZION,Zions Bancorporation N.A.,NASDAQ,Major Banks,
ZINGU,FTAC Zeus Acquisition Corp.,NASDAQ,Financial Conglomerates,
ZING,FTAC Zeus Acquisition Corp.,NASDAQ,Financial Conglomerates,
ZIMV,ZimVie Inc.,NASDAQ,Medical Specialties,
ZIM,ZIM Integrated Shipping Services Ltd.,NYSE,Marine Shipping,
ZI,ZoomInfo Technologies Inc.,NASDAQ,Packaged Software,
ZH,Zhihu Inc.,NYSE,Internet Software/Services,
ZGN,Ermenegildo Zegna N.V.,NYSE,Apparel/Footwear,
ZG,"Zillow Group, Inc.",NASDAQ,Real Estate Development,
ZFOX,"ZeroFox Holdings, Inc.",NASDAQ,Packaged Software,
ZEV,"Lightning eMotors, Inc",NYSE,Motor Vehicles,
ZEUS,"Olympic Steel, Inc.",NASDAQ,Metal Fabrication,
ZETA,Zeta Global Holdings Corp.,NYSE,Packaged Software,
ZEPP,Zepp Health Corporation,NYSE,Other Consumer Specialties,
ZENV,Zenvia Inc.,NASDAQ,Packaged Software,
ZD,"Ziff Davis, Inc.",NASDAQ,Internet Software/Services,
ZCMD,Zhongchao Inc.,NASDAQ,Miscellaneous Commercial Services,
ZBRA,Zebra Technologies Corporation,NASDAQ,Computer Processing Hardware,
ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,Medical Specialties,
ZAPP,Zapp Electric Vehicles Group Limited,NASDAQ,Motor Vehicles,
Z,"Zillow Group, Inc.",NASDAQ,Real Estate Development,
YY,JOYY Inc.,NASDAQ,Data Processing Services,
YVR,Liquid Media Group Ltd.,NASDAQ,Packaged Software,
YUMC,"Yum China Holdings, Inc.",NYSE,Restaurants,
YUM,"Yum! Brands, Inc.",NYSE,Restaurants,
YTRA,"Yatra Online, Inc.",NASDAQ,Other Consumer Services,
YTEN,"Yield10 Bioscience, Inc.",NASDAQ,Chemicals: Agricultural,
YSG,Yatsen Holding Limited,NYSE,Specialty Stores,
YS,"YS Biopharma Co., Ltd.",NASDAQ,Biotechnology,
YRD,Yiren Digital Ltd.,NYSE,Internet Software/Services,
YQ,17 Education & Technology Group Inc.,NASDAQ,Internet Software/Services,
YPF,YPF Sociedad Anonima,NYSE,Integrated Oil,
YOU,"Clear Secure, Inc.",NYSE,Packaged Software,
YOTAU,Yotta Acquisition Corporation,NASDAQ,Financial Conglomerates,
YOTA,Yotta Acquisition Corporation,NASDAQ,Financial Conglomerates,
YOSH,Yoshiharu Global Co.,NASDAQ,Restaurants,
YORW,The York Water Company,NASDAQ,Water Utilities,
YMM,Full Truck Alliance Co. Ltd.,NYSE,Packaged Software,
YMAB,"Y-mAbs Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,
YLDE,ClearBridge Dividend Strategy ESG ETF,NASDAQ,Investment Trusts/Mutual Funds,
YJ,Yunji Inc. - American Depository Shares,NASDAQ,Catalog/Specialty Distribution,
YI,"111, Inc.",NASDAQ,Medical Distributors,
YGMZ,MingZhu Logistics Holdings Limited,NASDAQ,Trucking,
YGF,"YanGuFang International Group Co., Ltd.",NASDAQ,Food: Specialty/Candy,
YEXT,"Yext, Inc.",NYSE,Data Processing Services,
YETI,"YETI Holdings, Inc.",NYSE,Miscellaneous Manufacturing,
YELP,Yelp Inc.,NYSE,Internet Software/Services,
YELL,Yellow Corporation,NASDAQ,Trucking,
YALA,Yalla Group Limited,NYSE,Internet Software/Services,
XYL,Xylem Inc.,NYSE,Industrial Machinery,
XYF,X Financial,NYSE,Finance/Rental/Leasing,
XXII,"22nd Century Group, Inc",NASDAQ,Biotechnology,
XWEL,"XWELL, Inc.",NASDAQ,Other Consumer Services,
XTLB,XTL Biopharmaceuticals Ltd.,NASDAQ,Medical Specialties,
XT,iShares Exponential Technologies ETF,NASDAQ,Investment Trusts/Mutual Funds,
XRX,Xerox Holdings Corporation,NASDAQ,Computer Peripherals,
XRTX,XORTX Therapeutics Inc.,NASDAQ,Pharmaceuticals: Major,
XRAY,DENTSPLY SIRONA Inc.,NASDAQ,Medical Specialties,
XPRO,Expro Group Holdings N.V.,NYSE,Oil & Gas Production,
XPON,Expion360 Inc.,NASDAQ,Electrical Products,
XPOF,"Xponential Fitness, Inc.",NYSE,Other Consumer Services,
XPO,"XPO, Inc.",NYSE,Trucking,
XPEV,XPeng Inc.,NYSE,Motor Vehicles,
XPER,Xperi Inc.,NYSE,Packaged Software,
XPEL,"XPEL, Inc.",NASDAQ,Automotive Aftermarket,
XPDBU,Power & Digital Infrastructure Acquisition II Corp.,NASDAQ,Financial Conglomerates,
XPDB,Power & Digital Infrastructure Acquisition II Corp.,NASDAQ,Financial Conglomerates,
XPAXU,XPAC Acquisition Corp.,NASDAQ,Financial Conglomerates,
XPAX,XPAC Acquisition Corp.,NASDAQ,Financial Conglomerates,
XP,XP Inc.,NASDAQ,Internet Software/Services,
XOS,"Xos, Inc.",NASDAQ,Motor Vehicles,
XOMAP,XOMA Corporation - 8.625% Series A Cumulative Perpetual Preferred Stock,NASDAQ,Pharmaceuticals: Major,
XOMAO,XOMA Corporation - Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock,NASDAQ,Pharmaceuticals: Major,
XOMA,XOMA Corporation,NASDAQ,Pharmaceuticals: Major,
XOM,Exxon Mobil Corporation,NYSE,Integrated Oil,
XNET,Xunlei Limited,NASDAQ,Information Technology Services,
XNCR,"Xencor, Inc.",NASDAQ,Biotechnology,
XMTR,"Xometry, Inc.",NASDAQ,Metal Fabrication,
XM,Qualtrics International Inc.,NASDAQ,Packaged Software,
XLO,"Xilio Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,
XIN,Xinyuan Real Estate Co Ltd,NYSE,Real Estate Development,
XHR,"Xenia Hotels & Resorts, Inc.",NYSE,Real Estate Investment Trusts,
XGN,Exagen Inc.,NASDAQ,Medical/Nursing Services,
XFOR,"X4 Pharmaceuticals, Inc.",NASDAQ,Biotechnology,
XFLT/PA,"XAI Octagon Floating Rate & Alternative Income Term Trust 6.50% Series 2026 Term Preferred Shares, (Liquidation Preference $25.00)",NYSE,Investment Trusts/Mutual Funds,
XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,NYSE,Investment Trusts/Mutual Funds,
XFINU,ExcelFin Acquisition Corp,NASDAQ,Financial Conglomerates,
XFIN,ExcelFin Acquisition Corp,NASDAQ,Financial Conglomerates,
XERS,"Xeris Biopharma Holdings, Inc.",NASDAQ,Biotechnology,
XENE,Xenon Pharmaceuticals Inc.,NASDAQ,Pharmaceuticals: Major,
XELB,"Xcel Brands, Inc",NASDAQ,Apparel/Footwear,
XELAP,"Exela Technologies, Inc. - 6.00% Series B Cumulative Convertible Perpetual Preferred Stock",NASDAQ,Information Technology Services,
XELA,"Exela Technologies, Inc.",NASDAQ,Information Technology Services,
XEL,Xcel Energy Inc.,NASDAQ,Electric Utilities,
XDNA,Strategic CRISPR & Gene Editing Technology ETF,NASDAQ,Investment Trusts/Mutual Funds,
XCUR,"Exicure, Inc.",NASDAQ,Biotechnology,
XBIT,XBiotech Inc.,NASDAQ,Pharmaceuticals: Major,
XBIO,"Xenetic Biosciences, Inc.",NASDAQ,Pharmaceuticals: Major,
XBIL,US Treasury 6 Month Bill ETF,NASDAQ,Investment Trusts/Mutual Funds,
XAIR,"Beyond Air, Inc.",NASDAQ,Medical Specialties,
X,United States Steel Corporation,NYSE,Steel,
WYNN,"Wynn Resorts, Limited",NASDAQ,Casinos/Gaming,
WY,Weyerhaeuser Company,NYSE,Real Estate Investment Trusts,
WWW,"Wolverine World Wide, Inc.",NYSE,Apparel/Footwear,
WWE,"World Wrestling Entertainment, Inc.",NYSE,Movies/Entertainment,
WWD,"Woodward, Inc.",NASDAQ,Industrial Machinery,
WWACU,Worldwide Webb Acquisition Corp.,NASDAQ,Financial Conglomerates,
WWAC,Worldwide Webb Acquisition Corp.,NASDAQ,Financial Conglomerates,
WW,"WW International, Inc.",NASDAQ,Other Consumer Services,
WVVIP,"Willamette Valley Vineyards, Inc. - Series A Redeemable Preferred Stock",NASDAQ,Beverages: Alcoholic,
WVVI,"Willamette Valley Vineyards, Inc.",NASDAQ,Beverages: Alcoholic,
WVE,Wave Life Sciences Ltd.,NASDAQ,Biotechnology,
WULF,TeraWulf Inc.,NASDAQ,Data Processing Services,
WU,Western Union Company (The),NYSE,Finance/Rental/Leasing,
WTW,Willis Towers Watson Public Limited Company,NASDAQ,Insurance Brokers/Services,
WTTR,"Select Water Solutions, Inc.",NYSE,Water Utilities,
WTS,"Watts Water Technologies, Inc.",NYSE,Industrial Machinery,
WTRG,"Essential Utilities, Inc.",NYSE,Water Utilities,
WTMAU,Welsbach Technology Metals Acquisition Corp.,NASDAQ,Financial Conglomerates,
WTMA,Welsbach Technology Metals Acquisition Corp.,NASDAQ,Financial Conglomerates,
WTM,"White Mountains Insurance Group, Ltd.",NYSE,Multi-Line Insurance,
WTI,"W&T Offshore, Inc.",NYSE,Oil & Gas Production,
WTFCP,"Wintrust Financial Corporation - Depositary Shares, Each Representing a 1/1,000th Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Prefer",NASDAQ,Regional Banks,
WTFCM,"Wintrust Financial Corporation - Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series D",NASDAQ,Regional Banks,
WTFC,Wintrust Financial Corporation,NASDAQ,Regional Banks,
WTER,The Alkaline Water Company Inc.,NASDAQ,Beverages: Non-Alcoholic,
WTBA,West Bancorporation,NASDAQ,Regional Banks,
WT,"WisdomTree, Inc.",NYSE,Investment Trusts/Mutual Funds,
WST,"West Pharmaceutical Services, Inc.",NYSE,Medical Specialties,
WSR,Whitestone REIT,NYSE,Real Estate Investment Trusts,
WSO,"Watsco, Inc.",NYSE,Building Products,
WSM,"Williams-Sonoma, Inc.",NYSE,Specialty Stores,
WSFS,WSFS Financial Corporation,NASDAQ,Savings Banks,
WSC,WillScot Mobile Mini Holdings Corp.,NASDAQ,Finance/Rental/Leasing,
WSBF,"Waterstone Financial, Inc.",NASDAQ,Finance/Rental/Leasing,
WSBCP,"WesBanco, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ,Regional Banks,
WSBC,"WesBanco, Inc.",NASDAQ,Regional Banks,
WRND,IQ Global Equity R&D Leaders ETF,NASDAQ,Investment Trusts/Mutual Funds,
WRLD,World Acceptance Corporation,NASDAQ,Finance/Rental/Leasing,
WRK,Westrock Company,NYSE,Containers/Packaging,
WRBY,Warby Parker Inc.,NYSE,Specialty Stores,
WRB/PH,W.R. Berkley Corporation 4.125% Subordinated Debentures due 2061,NYSE,Property/Casualty Insurance,
WRB/PG,W.R. Berkley Corporation 4.25% Subordinated Debentures due 2060,NYSE,Property/Casualty Insurance,
WRB/PF,W.R. Berkley Corporation 5.10% Subordinated Debentures due 2059,NYSE,Property/Casualty Insurance,
WRB/PE,W.R. Berkley Corporation 5.70% Subordinated Debentures due 2058,NYSE,Property/Casualty Insurance,
WRB,W.R. Berkley Corporation,NYSE,Property/Casualty Insurance,
WRAP,"Wrap Technologies, Inc.",NASDAQ,Medical Specialties,
WPRT,Westport Fuel Systems Inc,NASDAQ,Trucks/Construction/Farm Machinery,
WPP,WPP plc,NYSE,Advertising/Marketing Services,
WPM,Wheaton Precious Metals Corp,NYSE,Precious Metals,
WPC,W. P. Carey Inc. REIT,NYSE,Real Estate Investment Trusts,
WOW,"WideOpenWest, Inc.",NYSE,Major Telecommunications,
WORX,SCWorx Corp.,NASDAQ,Packaged Software,
WOR,"Worthington Industries, Inc.",NYSE,Steel,
WOOF,"Petco Health and Wellness Company, Inc.",NASDAQ,Internet Retail,
WOOD,iShares Global Timber & Forestry ETF,NASDAQ,Investment Trusts/Mutual Funds,
WOLF,"Wolfspeed, Inc.",NYSE,Semiconductors,
WNW,Meiwu Technology Company Limited,NASDAQ,Internet Retail,
WNS,WNS (Holdings) Limited Sponsored,NYSE,Miscellaneous Commercial Services,
WNNR.U,Andretti Acquisition Corp.,NYSE,Financial Conglomerates,
WNNR,Andretti Acquisition Corp.,NYSE,Financial Conglomerates,
WNEB,"Western New England Bancorp, Inc.",NASDAQ,Savings Banks,
WNDY,Global X Wind Energy ETF,NASDAQ,Investment Trusts/Mutual Funds,
WNC,Wabash National Corporation,NYSE,Trucks/Construction/Farm Machinery,
WMT,Walmart Inc.,NYSE,Specialty Stores,
WMS,"Advanced Drainage Systems, Inc.",NYSE,Miscellaneous Manufacturing,
WMPN,William Penn Bancorporation,NASDAQ,Savings Banks,
WMK,"Weis Markets, Inc.",NYSE,Food Retail,
WMG,Warner Music Group Corp.,NASDAQ,Commercial Printing/Forms,
WMC,Western Asset Mortgage Capital Corporation,NYSE,Real Estate Investment Trusts,
WMB,"Williams Companies, Inc. (The)",NYSE,Integrated Oil,
WM,"Waste Management, Inc.",NYSE,Environmental Services,
WLY,"John Wiley & Sons, Inc.",NYSE,Publishing: Books/Magazines,
WLKP,Westlake Chemical Partners LP,NYSE,Chemicals: Specialty,
WLK,Westlake Corporation,NYSE,Chemicals: Specialty,
WLGS,"Wang & Lee Group, Inc.",NASDAQ,Engineering & Construction,
WLFC,Willis Lease Finance Corporation,NASDAQ,Finance/Rental/Leasing,
WLDS,Wearable Devices Ltd.,NASDAQ,Electronic Equipment/Instruments,
WLDN,"Willdan Group, Inc.",NASDAQ,Miscellaneous Commercial Services,
